"Capacitor";"Model";"Value, uF";"Mounting Quality";"Total Mounting Inductance, nH";"Estimated ESL, nH";"Actual Resonance Frequency, MHz";"Resonant Frequency for User-Specified ESL (w/o Mounting), MHz";"Comments"
"C167";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C167.1 to metal area"
"C168";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C168.1 to metal area"
"C169";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C169.1 to metal area"
"C170";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C170.1 to metal area"
"C171";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C171.1 to metal area"
"C172";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C172.1 to metal area"
"C173";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C173.1 to metal area"
"C174";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C174.1 to metal area"
"C175";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C175.1 to metal area"
"C176";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C176.1 to metal area"
"C177";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C177.1 to metal area"
"C178";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C178.1 to metal area"
"C179";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C179.1 to metal area"
"C180";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C180.1 to metal area"
"C181";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C181.1 to metal area"
"C182";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C182.1 to metal area"
"C183";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C183.1 to metal area"
"C184";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C184.1 to metal area"
"C185";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.94";"N/A";" 16.39";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C188";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C188.1 to metal area"
"C189";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C189.1 to metal area"
"C190";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C190.1 to metal area"
"C192";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C192.1 to metal area"
"C193";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C193.1 to metal area"
"C194";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C194.1 to metal area"
"C195";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.94";"N/A";" 16.39";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C196";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.14";"N/A";" 42.09";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C197";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C197.2 to metal area"
"C199";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C199.2 to metal area"
"C200";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.94";"N/A";" 16.39";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C203";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C203.1 to metal area"
"C204";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C204.2 to metal area"
"C205";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C205.1 to metal area"
"C206";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C206.1 to metal area"
"C207";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C207.1 to metal area"
"C208";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  1.37";"N/A";"  1.98";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C209";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  1.37";"N/A";"  1.98";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C210";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C210.1 to metal area"
"C211";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C211.1 to metal area"
"C212";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C212.1 to metal area"
"C213";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C213.1 to metal area"
"C214";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C214.1 to metal area"
"C215";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C215.1 to metal area"
"C216";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C216.1 to metal area"
"C217";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C217.1 to metal area"
"C218";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"poorly connected";"  1.37";"N/A";"  1.98";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C219";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C219.1 to metal area"
"C220";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C220.1 to metal area"
"C221";"C=4.7uF, ESL=Auto, ESR=25mOhms";"  4.70";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C221.1 to metal area"
"C222";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C222.1 to metal area"
"C223";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C223.1 to metal area"
"C224";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C224.1 to metal area"
"C225";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C225.1 to metal area"
"C226";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C226.1 to metal area"
"C227";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C227.1 to metal area"
"C228";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C228.1 to metal area"
"C229";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C229.1 to metal area"
"C230";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C230.1 to metal area"
"C231";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C231.1 to metal area"
"C232";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C232.1 to metal area"
"C233";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"poorly connected";"  1.37";"N/A";"  1.36";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C242";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"poorly connected";"  1.60";"N/A";"  1.26";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C244";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"poorly connected";"  1.60";"N/A";"  1.26";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C246";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"poorly connected";"  1.60";"N/A";"  1.26";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C254";"C=10uF, ESL=Auto, ESR=25mOhms";" 10.00";"virtual connection";"  0.82";"  0.18";"  1.76";"N/A";""
