"Capacitor";"Model";"Value, uF";"Mounting Quality";"Total Mounting Inductance, nH";"Estimated ESL, nH";"Actual Resonance Frequency, MHz";"Resonant Frequency for User-Specified ESL (w/o Mounting), MHz";"Comments"
"C39";"C=0.01uF, ESL=Auto, ESR=25mOhms";"0.0100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C39.1 to metal area"
"C43";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"poorly connected";"  1.82";"N/A";"  0.37";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C44";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C44.1 to metal area"
"C46";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C46.1 to metal area"
"C47";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"poorly connected";"  1.82";"N/A";"  0.37";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C48";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C48.1 to metal area"
"C49";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C49.1 to metal area"
"C50";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"poorly connected";"  1.82";"N/A";"  0.37";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C51";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C51.1 to metal area"
"C52";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C52.1 to metal area"
"C53";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C53.1 to metal area"
"C54";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C54.1 to metal area"
"C55";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C55.1 to metal area"
"C56";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"poorly connected";"  1.82";"N/A";"  0.37";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C57";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C57.1 to metal area"
"C58";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C58.1 to metal area"
"C59";"C=100uF, ESL=Auto, ESR=25mOhms";"100.00";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C59.1 to metal area"
"C60";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C60.1 to metal area"
"C61";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C61.1 to metal area"
"C62";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C62.1 to metal area"
"C63";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C63.1 to metal area"
"C64";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.94";"N/A";"  7.56";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C65";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.94";"N/A";"  7.56";"N/A";"Failed to create decoupling capacitor model; using simplified model"
